Date,Open,High,Low,Close,Volume,AdjClose
2003-08-06,88.99,89.74,86.53,89.00,4485300,72.00
2003-08-05,90.27,92.30,89.02,91.25,3602500,73.82
2003-08-04,91.60,92.70,88.59,89.42,3776600,72.34
2003-08-01,94.55,94.78,90.76,92.29,3874200,74.66
2003-07-31,91.40,94.62,89.94,95.00,5766700,76.86
2003-07-30,88.10,91.62,88.08,90.82,5240500,73.47
2003-07-29,86.00,89.39,85.90,89.20,5213700,72.16
2003-07-28,85.25,86.43,85.01,86.51,2952200,69.99
2003-07-25,83.55,84.88,82.13,83.41,2509300,67.48
2003-07-24,82.90,84.22,81.15,84.57,2857100,68.42
2003-07-23,83.50,83.78,81.62,82.49,2649200,66.73
2003-07-22,82.60,83.15,79.71,82.90,4428300,67.07
2003-07-21,86.05,86.56,82.32,83.38,3393000,67.45
2003-07-18,82.90,85.82,82.80,85.61,2980200,69.26
2003-07-17,83.75,83.88,81.00,83.02,3563200,67.16
2003-07-16,85.00,85.99,84.00,84.55,4763100,68.40
2003-07-15,82.20,85.60,82.00,84.00,6222200,67.96
2003-07-14,79.20,82.80,78.90,83.00,5094500,67.15
2003-07-11,74.97,78.10,74.21,78.30,2475400,63.34
2003-07-10,77.84,78.30,75.05,75.49,3174300,61.07
2003-07-09,77.45,78.40,76.68,77.75,3770200,62.90
2003-07-08,74.89,77.14,74.64,76.96,3629300,62.26
2003-07-07,73.40,75.40,73.00,74.00,3497800,59.87
2003-07-04,72.00,72.41,71.11,71.94,1256000,58.20
2003-07-03,72.90,73.70,70.51,71.60,3251000,57.92
2003-07-02,71.39,73.40,71.03,73.40,3565700,59.38
2003-07-01,72.50,72.70,68.51,69.55,4595200,56.27
2003-06-30,73.10,74.50,70.80,72.60,3128400,58.73
2003-06-27,74.05,74.35,72.25,73.70,2244300,59.62
2003-06-26,71.19,73.80,70.80,73.20,3198600,59.22
2003-06-25,74.20,74.45,72.75,73.01,2542300,59.07
2003-06-24,72.38,73.70,71.21,73.60,3373500,59.54
2003-06-23,75.05,75.15,71.56,72.30,4083600,58.49
2003-06-20,75.32,76.12,74.26,76.00,12204600,61.48
2003-06-19,78.68,78.69,74.11,74.89,3066100,60.59
2003-06-18,78.68,78.95,76.51,78.00,4337500,63.10
2003-06-17,79.00,79.18,77.16,78.00,4805300,63.10
2003-06-16,72.85,76.48,71.60,76.42,4218900,61.82
2003-06-13,76.50,77.30,72.70,73.93,4419600,59.81
2003-06-12,75.90,78.40,75.61,76.25,6309100,61.69
2003-06-11,74.74,75.35,73.15,74.78,5795500,60.50
2003-06-10,68.00,73.45,67.80,72.72,7522300,58.83
2003-06-09,68.99,69.99,67.61,68.35,2084900,55.30
2003-06-06,67.98,69.97,67.77,68.12,4244900,55.11
2003-06-05,69.50,70.00,66.01,66.80,4860500,54.04
2003-06-04,68.00,69.00,66.33,68.60,3198800,55.50
2003-06-03,66.10,67.88,65.50,66.77,2570900,54.02
2003-06-02,66.55,68.10,66.20,67.95,4535000,54.97
2003-05-30,61.85,65.20,61.82,64.40,2411400,52.10
2003-05-29,62.01,64.00,61.23,61.80,1334500,50.00
2003-05-28,61.35,63.32,61.11,61.72,4559200,49.93
2003-05-27,59.25,60.90,57.52,60.80,3868900,49.19
2003-05-26,59.24,60.35,59.10,59.83,1067100,48.40
2003-05-23,61.89,62.44,58.22,58.80,3692700,47.57
2003-05-22,60.00,61.40,59.31,61.01,4020500,49.36
2003-05-21,61.80,61.90,57.90,59.70,6485600,48.30
2003-05-20,61.70,62.70,60.23,61.55,4938400,49.79
2003-05-19,65.36,65.79,61.60,61.99,5443100,50.15
2003-05-16,67.03,69.50,65.87,66.81,6627300,54.05
2003-05-15,66.48,67.79,65.43,66.73,4651500,53.98
2003-05-14,65.55,67.20,65.00,66.25,3143500,53.60
2003-05-13,67.00,67.24,65.31,65.75,3209400,53.19
2003-05-12,65.80,66.94,63.70,66.89,4403900,54.11
2003-05-09,64.79,65.25,61.53,65.00,5084400,52.59
2003-05-08,67.81,67.84,63.48,63.48,5343300,51.36
2003-05-07,69.02,70.00,67.49,68.20,5662800,55.17
2003-05-06,65.49,69.30,64.59,69.47,4387300,56.20
2003-05-05,65.40,67.06,62.30,65.85,5445100,53.27
2003-05-02,63.25,64.80,62.15,64.51,4028600,52.19
2003-05-01,63.30,63.30,63.30,63.30,000,51.21
2003-04-30,61.09,64.80,60.88,63.35,7982200,51.25
2003-04-29,61.90,65.48,60.55,61.92,11048400,48.88
2003-04-28,56.46,61.32,55.51,60.50,7501200,47.76
